Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary
2025-12-13,00:05,5v5,Touch_Division_7,PLAYOFFS,Guardians Coed,https://pitfootball.com/league/pit-football/division/67/teams/562,28,We Survived,https://pitfootball.com/league/pit-football/division/67/teams/561,14,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/67/schedule/984
2025-12-12,23:05,5v5,Touch_Division_11,PLAYOFFS,Venum,https://pitfootball.com/league/pit-football/division/71/teams/577,12,Wickermen,https://pitfootball.com/league/pit-football/division/71/teams/578,32,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/71/schedule/986
2025-12-12,23:05,5v5,Touch_Division_15,PLAYOFFS,The Blue Ballers,https://pitfootball.com/league/pit-football/division/75/teams/596,29,Gooney Toons,https://pitfootball.com/league/pit-football/division/75/teams/595,6,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/75/schedule/977
2025-12-12,23:05,5v5,Touch_Division_6,PLAYOFFS,D3F,https://pitfootball.com/league/pit-football/division/66/teams/559,33,Gotham Knights Legends,https://pitfootball.com/league/pit-football/division/66/teams/557,45,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/66/schedule/983
2025-12-12,23:05,Flag,Flag_D1_Competitive,PLAYOFFS,Peg CIty,https://pitfootball.com/league/pit-football/division/60/teams/531,24,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/60/teams/533,20,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/60/schedule/980
2025-12-12,22:05,5v5,Touch_Division_10,PLAYOFFS,59ers,https://pitfootball.com/league/pit-football/division/70/teams/576,26,Not So Young Guns,https://pitfootball.com/league/pit-football/division/70/teams/573,42,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/70/schedule/982
2025-12-12,22:05,5v5,Touch_Division_13,PLAYOFFS,Edgeatrons,https://pitfootball.com/league/pit-football/division/73/teams/585,45,Dingos,https://pitfootball.com/league/pit-football/division/73/teams/587,22,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/73/schedule/985
2025-12-12,22:05,Flag,Flag_D2_Recreational,PLAYOFFS,Peg City Pipeline,https://pitfootball.com/league/pit-football/division/61/teams/536,18,North Bay IR,https://pitfootball.com/league/pit-football/division/61/teams/537,34,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/61/schedule/979
2025-12-12,22:05,Flag,Flag_D4_Coed,PLAYOFFS,Fearless,https://pitfootball.com/league/pit-football/division/87/teams/613,19,Mothmen,https://pitfootball.com/league/pit-football/division/87/teams/614,37,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/87/schedule/976
2025-12-07,00:45,5v5,Touch_Division_12,PLAYOFFS,Globo Gym Purple Cobras,https://pitfootball.com/league/pit-football/division/72/teams/584,32,Young Wild and Free,https://pitfootball.com/league/pit-football/division/72/teams/583,0,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/72/schedule/974
2025-12-07,00:45,5v5,Touch_Division_3,PLAYOFFS,Cream of the century,https://pitfootball.com/league/pit-football/division/63/teams/548,25,Creamsicles,https://pitfootball.com/league/pit-football/division/63/teams/546,24,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/63/schedule/960
2025-12-07,00:45,5v5,Touch_Division_3,PLAYOFFS,Cream on your TDs,https://pitfootball.com/league/pit-football/division/63/teams/547,32,All black no cream,https://pitfootball.com/league/pit-football/division/63/teams/545,20,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/63/schedule/966
2025-12-07,00:45,5v5,Touch_Division_8,PLAYOFFS,Necessary Roughness,https://pitfootball.com/league/pit-football/division/68/teams/565,2,Les Amis D'Huddle,https://pitfootball.com/league/pit-football/division/68/teams/567,37,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/68/schedule/970
2025-12-06,23:45,5v5,Touch_Division_13,PLAYOFFS,Boozers,https://pitfootball.com/league/pit-football/division/73/teams/586,25,Edgeatrons,https://pitfootball.com/league/pit-football/division/73/teams/585,26,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/73/schedule/969
2025-12-06,23:45,5v5,Touch_Division_1,PLAYOFFS,Sock Puppets,https://pitfootball.com/league/pit-football/division/80/teams/541,33,Seafood City,https://pitfootball.com/league/pit-football/division/80/teams/543,39,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/80/schedule/965
